id,name,origin_country
129773,One Cool Group,HK
11341,Stage 6 Films,US
229807,Andrews McMeel Entertainment,US
178792,John Cohen Productions,US
194532,Electric Motion Pictures,
202567,Pitchipoï Productions,FR
20664,Anton Capital Entertainment,GB
23514,Sentient Entertainment,US
138946,Brickell & Broadbridge International,US
198301,Off The Pier Productions,US
1225,One Race,US
34530,Perfect Storm Entertainment,US
194285,Saks Picture Company,US
1645,Scott Free Productions,GB
14440,Red Wagon Entertainment,US
21904,Mill Film,GB
7,DreamWorks Pictures,US
2801,Film i Väst,SE
116669,Flamboyance Films,
2345,Lemming Film,NL
8483,Plattform Produktion,SE
2999,SVT,SE
92840,Logical Pictures,FR
77697,Grand Slam Film Production,SE
6181,SF Studios,SE
2598,Hasbro,US
123244,Picturestart,US
158612,Gearbox Studios,US
181160,2K,US
147591,Hercules Film Fund,LU
1311,The Asylum,US
215195,Gelt Films,
729,Why Not Productions,FR
83,France 2 Cinéma,FR
11779,Page 114,FR
237344,Saint Laurent Productions,FR
139680,Saint Laurent,FR
171148,Library Pictures International,US
209127,Logical Content Ventures,FR
1926,Les Films du Fleuve,BE
200642,The Veterans,US
20848,Rough House Pictures,US
2932,Red Hour,US
156327,Rivulet Media,US
179831,Capstone Studios,US
106754,Hammerstone Studios,US
122323,Raimi Productions,US
113069,Ekipa,PL
133440,Open Mind Production,PL
9350,Indian Paintbrush,US
112783,House Productions,GB
56,Amblin Entertainment,US
110321,M.M.D. Rome,
2849,BONES,JP
882,TOHO,JP
5322,Aloe Entertainment,US
243770,Luna Films,
199728,Ludascripts,US
233099,Peachtree Media Partners,US
10280,Arc Productions,
117747,Media Finance Capital,GB
246708,LONY Productions,
223220,FitzHenry Films,US
246709,Dorman Films,
173584,FilmSharks International,AR
240538,Urban Achievers,PY
8921,United Plankton Pictures,US
4859,Nickelodeon Animation Studio,US
121194,Workerbee,GB
43252,Jackpot Productions,GB
147142,Blaad Studios,KR
128404,CJ ENM,KR
199265,CJ ENM Studios,KR
7036,CJ Entertainment,KR
82968,LuckyChap Entertainment,US
181486,NB/GG Pictures,US
6220,Mattel,US
10146,Focus Features,US
11370,Michael De Luca Productions,US
7626,Trigger Street Productions,US
138594,Frontier Pictures,ID
10211,Alfran Productions,US
79,Village Roadshow Pictures,US
214904,The Roald Dahl Story Company,GB
239439,At Last Productions,US
142849,OBB Pictures,US
131925,Island,
3528,Thunder Road,US
23008,87Eleven,US
264,Studio Babelsberg,DE
30294,8bit,JP
42141,DreamWorks Animation Television,US
106988,Mel Hoppenheim School of Cinema,CA
110723,Nickel City Pictures,US
106029,Novo Media Group,
241875,Pasttime Pictures,US
10221,Walden Media,US
79503,C.S. Lewis Company,GB
67694,Scena Group,
5128,San Francisco Film,IT
240713,Anonymous Content Nordic,NO
13318,Récifilms,FR
15433,Orange Studio,FR
112425,Perfect Storm Film,KR
235330,Channel Plus,KR
1757,Mad Chance,US
120915,Brolin Productions,US
107244,Estuary Films,US
188570,The Barnum Picture Company,US
116018,Green Light Pictures,US
142122,Lucky 13 Productions,US
7576,EON Productions,GB
10761,Danjaq,US
41053,Casino Royale Productions,US
955,Nikkatsu Corporation,JP
29312,Sunday Night Productions,US
2481,Platinum Dunes,US
168701,SEGA of America,US
211864,HalleHolly,US
110799,AGC Studios,US
185986,Meridian Pictures,US
160007,Orogen Entertainment,US
228706,Black Mandala Films,
239608,Wild Duck Productions,
19092,P of A Productions Limited,
88152,Cre Film,US
574,Lightstorm Entertainment,US
3172,Blumhouse Productions,US
1885,Silver Pictures,US
507,Atlas Entertainment,US
15123,Breakheart Films,US
239215,Peters Creek Entertainment,US
12288,Nintendo,JP
462,Patalex IV Productions Limited,
97,Castle Rock Entertainment,US
284,DNA Films,GB
142269,IPR.VC,FI
67412,Movistar+,ES
29566,Atresmedia,ES
115983,China Film Animation,CN
222691,Guardián de Dragones AIE,
202198,Telefonica,
14,Miramax,US
118475,Cedar Park Entertainment,US
218150,Punch Palace Productions,GB
130,Jerry Bruckheimer Films,US
22146,Black Bear Pictures,US
2900,Toff Guy Films,GB
429,DC,US
118865,Isobel Griffiths,GB
59,A Band Apart,US
216,Jersey Films,US
79175,SAMG Animation,KR
103374,The Walt Disney Company EMEA,GB
20498,Télé-Québec,CA
22123,TF1,FR
118295,Gloob,BR
200505,Norman Studio,FR
113634,Library Films,US
5237,The Saul Zaentz Company,US
4286,Juno Pix,US
65393,Cecchi Gori Pictures,US
2348,Nickelodeon Movies,US
236197,Ghost Box Productions,
125401,BuzzFeed Studios,US
139492,CR8IV DNA,CA
52366,Jump Film and Television,NZ
186741,MBK Productions,GB
294,New Zealand Film Commission,NZ
100125,Mister Smith Entertainment,GB
212408,Brouhaha Entertainment,AU
3753,Kismet Film Company,
41096,Lonetree Entertainment,US
1423,Escape Artists,US
34034,LStar Capital,US
2767,Mace Neufeld Productions,US
155744,Jagged Edge Productions,GB
69347,ITN Distribution,GB
35625,Premiere Entertainment Group,US
62894,Entertaining Power,HK
69437,One Cool Pictures,HK
5686,Sil-Metropole Organisation,HK
214726,HG Entertainment,CN
197030,Tao Piao Piao,CN
5552,Media Asia,HK
131587,Lian Ray Pictures,CN
175813,Flic Films,GB
11395,ImageMovers,US
32624,Dacar Produções Cinematográficas,BR
7662,Epic Pictures Group,US
25481,Cinematic Productions,
247689,Bard Tales Productions,
87096,Polar Bear Films,BE
26389,Family Affair Films,NL
104097,Kwassa Films,BE
91921,Suzanne Todd Productions,US
233782,Potato Monkey Productions,US
146807,GWave Productions,US
805,Serendipity Point Films,CA
47729,STXfilms,US
183234,Dogbone Entertainment,US
89171,Endurance Media,US
175316,K. JAM Media,US
3527,Green Hat Films,US
215994,Zam Pictures,US
85465,Oddfellows Entertainment,CA
167684,Range Media Partners,US
149142,Vivamax,PH
552,Dark Horse Entertainment,US
823,Telepool,DE
172977,ACE Entertainment,US
94370,Mompracem,IT
123289,Astorina S.A.C.,
155990,RAI Cinema,IT
74708,Melmoth Films,
33616,Sprout Pictures,GB
74709,D’Arblay Films,
74710,Dorado Media and Capital,
144803,Align,US
164414,Space Age Films,
158615,Toonz Media Group,IN
150709,GFM Animation,GB
76742,L'Atelier Animation,CA
219302,The Happy Producers,CA
5505,Fulwell 73 Productions,GB
7297,Fairview Entertainment,US
70,American Zoetrope,US
236562,Caesar Film,US
96540,Paramount Players,US
290,Ingenious Media,GB
3672,The Gotham Group,US
8569,Dayday Films,GB
182161,TOHO Studios,JP
12386,Robot Communications,JP
21777,TC Productions,US
43928,"Cameron Entertainment Co., Ltd.",
77776,Mega-Vision Productions Limited,
11029,QED International,US
47169,Le Grisbi Productions,US
16312,Crave Films,US
171656,Walt Disney Feature Animation,US
308,The Weinstein Company,US
5517,100 Bares,AR
169906,Spooky Pictures,US
13240,Bron Studios,CA
128064,DC Films,US
31075,Lion Pictures,IT
184844,Iervolino & Lady Bacardi Entertainment,IT
23283,Rodin Entertainment,US
8000,Broken Road Productions,US
173612,Welle Entertainment,US
176196,Somewhere Pictures,US
111265,I'll Have Another,US
112037,Semi-Formal Productions,US
101082,Double Dare You,US
